nombre,seguidores,amigos,tweets,localizacion,verificado,idioma
Stuart_Docherty,121,582,832,Online / Global,False,en
prietomar0,141,654,321,,False,es
jmperez1981,132,441,351,asuncion,False,es
jjsgtea,68,301,363,Valencia - Benasque,False,es
Carlos28996,112,580,350,,False,es
pascual_milan_a,54,341,230,Valencia,False,en
FlowH2020,848,318,366,,False,en
PorVlc,283,572,479,Valencia,False,es
JCarlosVillena,226,678,344,San Antonio / Alboraya,False,es
sausalito_vlc,674,963,792,,False,es
ElRogle_MiA,152,480,251,Valencia,False,ca
PaxInstituto,162,593,527,Valencia,False,es
comite_economic,140,422,324,Castell\u00f3n,False,es
taxiscontraley,76,274,296,,False,es
IsaRuiz16,74,337,885,\u2728,False,es
f_elsjovenils,525,514,601,Valencia,False,es
DecidimExterior,223,441,803,London,False,ca
MariaFustertv,1577,390,783,,False,es
quelinmon,300,720,427,España,False,es
KuzinaVLC,69,255,240,Calle Conde de Almod\u00f3var,False,en
jvzorrilla,83,284,337,,False,es
juanandrei99,28,278,258,,False,es
pau4n,441,813,567,Barcelona,False,es
AndreuEJ,193,364,328,Valencia,False,es
Annasther,152,620,526,Valencia,False,es
lobodemar46,38,421,859,Silla,False,es
fernandez_bey,57,382,506,Valencia,False,es
MAJARATXI1,59,355,562,Estocolmo,False,en
Vyaches_Shev,66,259,725,Valencia,False,es
antoniomonsalve,225,589,456,Valencia,False,en
viloga61,168,900,494,Albal,False,es
CJVlc,736,337,716,Ciutat de Val\u00e8ncia,False,ca
vgoni_victor,125,549,890,,False,es
n_mentxu,86,644,892,,False,es
NonoRegaa,160,651,694,,False,es
FxJusticia,377,288,836,Valencia,False,es
enfermEIRizada,382,381,346,,False,es
enrikin58,273,771,751,,False,es
lavalencianaLVC,98,389,234,,False,en
Fuensan7,150,289,469,,False,es
luismonsoriu,71,318,588,,False,es
PaulaBamar,226,355,746,Valencia,False,es
SalazarArq,539,495,537,Valencia,False,es
smarvi,55,694,306,,False,es
seplarui,106,466,240,,False,es
ConsuladoRD_vlc,391,578,234,Valencia,False,es
strll14,79,323,687,Valencia,False,es
jaimegprado,363,500,837,Madrid,False,es
AndreaMarinJ,184,631,414,Bogot\u00e1,False,es
MayorAtir,63,638,518,Alcoi ,False,es
Onemallorketa,45,534,459,,False,es
sapamajo,116,575,827,Valencia,False,es
ARXIUISMAEL,222,283,769,Pa\u00edsValenci\u00e0,False,ca
Hegeliriana,41,277,260,MADRID-VAL\u00c8NCIA,False,es
andymakaroff,28,611,447,,False,es
reichstresada,98,377,763,Valencia,False,es
valencia2016ya,34,286,574,,False,en
CiaEncar,77,914,339,Gandia,False,es
afic_xirivella,171,293,341,Ajuntament de Xirivella,False,es
tonyjones_,351,811,539,,False,en
AVPCAlcudia,127,517,472,L'Alc\u00fadia,False,es
ValenciaWriters,101,532,530,Valencia,False,es
AMPADansaVLC,155,365,411,Cam\u00ed de Vera,False,es
virginiasf3,34,380,329,Berlin,False,es
ruvial7,53,273,482,,False,ca
ultralocalia,94,454,697,,False,ca
BalaguerMentxu,314,374,596,Corbera,False,es
LaTeuaRadio,72,432,599,Mon\u00f2ver,False,es
Ortoprono,174,436,316,España,False,es
inf24,88,699,473,España,False,es
mes_david,100,593,653,Freiburg i.Br.(D) / Basel (CH),False,de
vero22soria5,123,304,643,Valencia,False,es
Manulaguia,438,692,461,Valencia,False,es
HilbrechtB,318,280,282,Dormagen,False,es
jandro81,26,553,744,,False,es
Nuttralia,452,283,398,Estamos en: Av/Bar\u00f3n de C\u00e1rcer,False,es
elreplicante,489,719,545,Valencia,False,es
miquelvallejo,53,512,898,Valencia,False,es
AngelesCuenca2,322,839,521,Comunitat Valenciana,False,es
JoseGea4,112,360,500,,False,es
JIniciativaVLC,282,581,755,Val\u00e8ncia | Horta Nord i Sud,False,es
Hectorcortesma,100,301,399,Valencia,False,es
OrtizSzAndrea,314,693,288,,False,es
monicadmh,125,304,545,,False,es
atelierGastro,431,553,275,Carrer de Ciscar 52,False,es
_SOBREVIVE_,467,887,860,,False,es
luis_carralero,285,673,638,La Ca\u00f1ada. Valencia.,False,es
TalensIsabel,130,511,709,Tavernes de la Valldigna,False,es
natxotarazona,178,508,542,Valencia,False,ca
CiudadanaLorena,75,318,734,Valencia,False,es
