nombre,expansion,abc,el Confidencial,el Imparcial,el Economista,la Gaceta,el Mundo,20 Minutos,el Espanol,el Pais,El Huffington Post,el Plural,publico,infoliblre,eldiario.es,Equilibrio,Balanceo,Saturacion
Stuart_Docherty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
prietomar0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,Desbalance a la derecha,monosaturada
jmperez1981,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,no,Desbalance a la derecha,monosaturada
jjsgtea,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,no,Desbalance a la izquierda,monosaturada
Carlos28996,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,no,Desbalance a la izquierda,monosaturada
pascual_milan_a,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,no,Desbalance a la derecha,monosaturada
FlowH2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PorVlc,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,no,si,monosaturada
JCarlosVillena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
sausalito_vlc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
ElRogle_MiA,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,no,Desbalance a la izquierda,monosaturada
PaxInstituto,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,no,si,monosaturada
comite_economic,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,no,Desbalance a la derecha,monosaturada
taxiscontraley,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,no,Desbalance a la izquierda,saturada
IsaRuiz16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
f_elsjovenils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DecidimExterior,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,no,Desbalance a la izquierda,monosaturada
MariaFustertv,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,no,Desbalance a la izquierda,saturada
quelinmon,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,no,si,monosaturada
KuzinaVLC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
jvzorrilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
juanandrei99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,no,Desbalance a la derecha,monosaturada
pau4n,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,no,Desbalance a la derecha,monosaturada
AndreuEJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Annasther,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,no,Desbalance a la izquierda,saturada
lobodemar46,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,no,Desbalance a la izquierda,monosaturada
fernandez_bey,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,no,Desbalance a la izquierda,saturada
MAJARATXI1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,no,Desbalance a la izquierda,saturada
Vyaches_Shev,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,no,Desbalance a la derecha,monosaturada
antoniomonsalve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
viloga61,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,no,Desbalance a la izquierda,saturada
CJVlc,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,no,Desbalance a la izquierda,monosaturada
vgoni_victor,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,no,Desbalance a la izquierda,saturada
n_mentxu,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,no,Desbalance a la izquierda,saturada
NonoRegaa,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,no,Desbalance a la izquierda,saturada
FxJusticia,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,no,Desbalance a la izquierda,monosaturada
enfermEIRizada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
enrikin58,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,no,Desbalance a la izquierda,monosaturada
lavalencianaLVC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Fuensan7,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,no,Desbalance a la izquierda,monosaturada
luismonsoriu,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,no,Desbalance a la izquierda,monosaturada
PaulaBamar,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,no,Desbalance a la izquierda,monosaturada
SalazarArq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
smarvi,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,no,Desbalance a la derecha,monosaturada
seplarui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
ConsuladoRD_vlc,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,no,Desbalance a la izquierda,saturada
strll14,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,no,Desbalance a la izquierda,monosaturada
jaimegprado,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,no,Desbalance a la izquierda,monosaturada
AndreaMarinJ,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,no,si,saturada
MayorAtir,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,no,Desbalance a la izquierda,monosaturada
Onemallorketa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
sapamajo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
ARXIUISMAEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Hegeliriana,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,no,Desbalance a la izquierda,saturada
andymakaroff,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,no,Desbalance a la izquierda,saturada
reichstresada,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,no,Desbalance a la izquierda,monosaturada
valencia2016ya,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,no,Desbalance a la derecha,saturada
CiaEncar,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,no,Desbalance a la izquierda,polisaturada
afic_xirivella,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,si,si,saturada
tonyjones_,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,no,Desbalance a la izquierda,monosaturada
AVPCAlcudia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
ValenciaWriters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
AMPADansaVLC,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,no,Desbalance a la izquierda,monosaturada
virginiasf3,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,no,Desbalance a la izquierda,saturada
ruvial7,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,no,Desbalance a la izquierda,monosaturada
ultralocalia,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,no,Desbalance a la izquierda,monosaturada
BalaguerMentxu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,no,Desbalance a la izquierda,monosaturada
LaTeuaRadio,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,no,si,monosaturada
Ortoprono,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
inf24,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,si,Desbalance a la izquierda,polisaturada
mes_david,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,no,Desbalance a la izquierda,monosaturada
vero22soria5,1,1,1,0,0,0,1,1,0,1,1,0,1,0,1,no,Desbalance a la izquierda,saturada
Manulaguia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
HilbrechtB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
jandro81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Nuttralia,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,no,Desbalance a la izquierda,monosaturada
elreplicante,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
miquelvallejo,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,si,Desbalance a la izquierda,saturada
AngelesCuenca2,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,si,si,polisaturada
JoseGea4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,no,Desbalance a la izquierda,monosaturada
JIniciativaVLC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
