nombre,seguidores,amigos,tweets,localizacion,verificado,idioma,protected
Esther46051823,1,12,4,,False,es,False
addigencinoza,88,579,30143,,False,es,True
Sergipab,29,118,12,,False,es,False
Stuart_Docherty,121,582,832,Online / Global,False,en,False
this_var_foo,128,361,2866,Valencia,False,es,False
usocvtaxi,157,65,75,Valencia,False,es,False
prietomar0,141,654,321,,False,es,False
VillasGuzman,902,770,1850,Benissa,False,es,False
RaquelTerolG,22,146,11,Valencia,False,es,False
silvestremillas,262,1108,94,Tona,False,es,False
alejandromoles2,239,1002,2771,Valencia,False,es,False
Fob123S,1,64,0,,False,es,False
chelomorena14,113,135,800,,False,es,False
djmonicax,202664,409,13682,Valencia,False,en,False
jmperez1981,132,441,351,asuncion,False,es,False
EstheerM15,281,368,1198,,False,es,False
diringelmo,225,1174,3248,,False,es,False
margaclari,29,418,46,España,False,es,False
SamarucsLGTB,23,196,21,Valencia,False,es,False
jrodado0,331,394,2420,,False,es,False
Pilar_Igles,17,152,8,,False,es,False
CHURROVALENCIA1,3,123,6,Valencia y alrededores.,False,es,False
housemom76,426,2201,5207,,False,es,False
elke_bohl,0,35,0,,False,en,False
PeterPeterbox,639,344,3079,bikeland,False,es,False
LosMeconios,1375,1291,364,Valencia,False,es,False
lusia_15,166,454,4091,Valencia - Olmedilla del Campo,False,es,False
JaimeAhuir,25,204,28,,False,es,False
jjsgtea,68,301,363,Valencia - Benasque,False,es,False
agermanatscorts,84,182,15,,False,es,False
Carlos28996,112,580,350,,False,es,False
SarayRdgz,17,22,7,Valencia,False,es,False
mc6spain,41,118,2003,Valencia,False,es,False
kryssifn,70,137,313,Comunidad Valenciana,False,en,False
pascual_milan_a,54,341,230,Valencia,False,en,False
jdglez,95,667,173,Valencia,False,es,False
TomsGarridoPre1,0,2,0,,False,es,False
gabrielacostalo,177,1639,2119,Quer\u00e9taro Arteaga,False,es,False
Deliciasraf,39,137,28,Almer\u00eda,False,es,False
_marta_21,254,759,4438,,False,es,False
ribaeduca,137,228,120,Comunidad Valenciana,False,es,False
SanchisFederico,34,147,329,Valencia,False,es,False
Comecom52938638,13,154,39,Valencia,False,en,False
pedrosabogados,2035,1421,2429,Valencia,False,es,False
leragna,1916,2446,44187,Valencia,False,es,False
EDEMempresarios,4854,872,13456,Valencia,False,es,False
FolkersmaRoutes,32,151,36,Marum,False,nl,False
FlowH2020,848,318,366,,False,en,False
ninaespai,9,112,1,Comunidad Valenciana,False,es,False
rebkpo,18,48,9,,False,es,False
r0woman,72,193,716,Valencia,False,es,False
circ_economy,121,237,27,Europa,False,en-gb,False
frednad,33,191,154,Madrid,False,es,False
IsraelinSpain,5392,1308,5113,Madrid,True,es,False
Fundacion_Amigo,1617,747,2832,C/ Zacar\u00edas Homs,False,es,False
